well,species,season,alive,n_genotypes,s,MIC,mutations,n_species,u,rep,gens,mutant_function
14,0,3,False,0,,,,2,0.001,0,20,null
14,1,3,False,0,,,,2,0.001,0,20,null
0,0,4,True,11,1.1692154194426536,0.24107148362765923,1.2730000000000001,2,0.001,0,20,null
0,1,4,True,9,1.1445991455756945,0.015144620205823925,1.102,2,0.001,0,20,null
1,0,4,False,0,,,,2,0.001,0,20,null
1,1,4,False,0,,,,2,0.001,0,20,null
2,0,4,False,0,,,,2,0.001,0,20,null
2,1,4,False,0,,,,2,0.001,0,20,null
3,0,4,False,0,,,,2,0.001,0,20,null
3,1,4,False,0,,,,2,0.001,0,20,null
4,0,4,False,0,,,,2,0.001,0,20,null
4,1,4,False,0,,,,2,0.001,0,20,null
5,0,4,False,0,,,,2,0.001,0,20,null
5,1,4,False,0,,,,2,0.001,0,20,null
6,0,4,False,0,,,,2,0.001,0,20,null
6,1,4,False,0,,,,2,0.001,0,20,null
7,0,4,False,0,,,,2,0.001,0,20,null
7,1,4,False,0,,,,2,0.001,0,20,null
8,0,4,False,0,,,,2,0.001,0,20,null
8,1,4,False,0,,,,2,0.001,0,20,null
9,0,4,False,0,,,,2,0.001,0,20,null
9,1,4,False,0,,,,2,0.001,0,20,null
10,0,4,False,0,,,,2,0.001,0,20,null
10,1,4,False,0,,,,2,0.001,0,20,null
11,0,4,False,0,,,,2,0.001,0,20,null
11,1,4,False,0,,,,2,0.001,0,20,null
12,0,4,False,0,,,,2,0.001,0,20,null
12,1,4,False,0,,,,2,0.001,0,20,null
13,0,4,False,0,,,,2,0.001,0,20,null
13,1,4,False,0,,,,2,0.001,0,20,null
14,0,4,False,0,,,,2,0.001,0,20,null
14,1,4,False,0,,,,2,0.001,0,20,null
0,0,5,True,16,1.2097463379158213,0.27681426077167687,1.8540000000000003,2,0.001,0,20,null
0,1,5,True,9,1.1460711015495408,0.03368192313782599,1.165,2,0.001,0,20,null
