seed,culture,met,rep,frac_slope
154,Monoculture,43,7,0.11056817128960694
154,Monoculture,43,8,0.11689920996357507
154,Monoculture,43,9,0.11510060068178157
154,Coculture,43,0,0.11644100918089109
154,Monoculture,44,0,0.1118628088338893
154,Monoculture,44,1,0.120086337664991
154,Monoculture,44,2,0.10892784922398766
154,Monoculture,44,3,0.1132257272346532
154,Monoculture,44,4,0.11938232788995684
154,Monoculture,44,5,0.12159886487370827
154,Monoculture,44,6,0.1202251076628124
154,Monoculture,44,7,0.09783319670198731
154,Monoculture,44,8,0.1293744217415908
154,Monoculture,44,9,0.14026661304825408
154,Coculture,44,0,0.11644100918089109
154,Monoculture,45,0,0.10229778809156279
154,Monoculture,45,1,0.10274419457693387
154,Monoculture,45,2,0.11708384284487701
154,Monoculture,45,3,0.10636812296874289
154,Monoculture,45,4,0.11437645077887376
154,Monoculture,45,5,0.11741549021096251
154,Monoculture,45,6,0.10959761690649983
154,Monoculture,45,7,0.1119596489465983
154,Monoculture,45,8,0.14048729726810438
154,Monoculture,45,9,0.12061785463892018
154,Coculture,45,0,0.11644100918089109
154,Monoculture,46,0,0.11423181907355634
154,Monoculture,46,1,0.11995232857963999
154,Monoculture,46,2,0.11166517507895359
154,Monoculture,46,3,0.11684747268873624
154,Monoculture,46,4,0.11546975063212128
154,Monoculture,46,5,0.11071557260650808
154,Monoculture,46,6,0.10766888589929308
154,Monoculture,46,7,0.10059532460756367
154,Monoculture,46,8,0.11632008999887146
154,Monoculture,46,9,0.11721821254706934
154,Coculture,46,0,0.11644100918089109
154,Monoculture,47,0,0.11710197514320476
154,Monoculture,47,1,0.1355571480219303
154,Monoculture,47,2,0.11976654344162865
154,Monoculture,47,3,0.11979853696203481
154,Monoculture,47,4,0.11753487260751111
154,Monoculture,47,5,0.1119957416850798
154,Monoculture,47,6,0.11607952055230936
154,Monoculture,47,7,0.10421520790295745
154,Monoculture,47,8,0.11928883707836802
154,Monoculture,47,9,0.13381137401724064
154,Coculture,47,0,0.11644100918089109
154,Monoculture,48,0,0.11542329863059521
154,Monoculture,48,1,0.12805844731647112
154,Monoculture,48,2,0.0905614507996056
154,Monoculture,48,3,0.11461779742108352
154,Monoculture,48,4,0.10411128092040435
154,Monoculture,48,5,0.11999865944944077
154,Monoculture,48,6,0.10659132303511487
154,Monoculture,48,7,0.10855962017561839
154,Monoculture,48,8,0.11948662909018123
154,Monoculture,48,9,0.11941609994894502
154,Coculture,48,0,0.11644100918089109
154,Monoculture,49,0,0.12228502893175745
154,Monoculture,49,1,0.11459102437718004
154,Monoculture,49,2,0.11626926817880247
154,Monoculture,49,3,0.11192734622113919
154,Monoculture,49,4,0.12457708335192419
154,Monoculture,49,5,0.11315300584732421
154,Monoculture,49,6,0.12118462523579696
154,Monoculture,49,7,0.11948277967360428
154,Monoculture,49,8,0.1106032754361625
154,Monoculture,49,9,0.12046973560157705
154,Coculture,49,0,0.11644100918089109
154,Monoculture,50,0,0.11848587137392622
